imdb_id,wiki_link_x,original_title_x,tags_x,image_url_y
tt8396186,https://en.wikipedia.org/wiki/Amavas,Amavas,"['far', 'away', 'bustl', 'citi', 'young', 'coupl', 'look', 'forward', 'stay', 'palati', 'mansion', 'live', 'turn', 'nightmar', 'dark', 'forc', 'lie', 'wait', 'beneath', 'shadow', 'haunt', 'bungalow', 'live', 'coupl', 'turn', 'nightmar', 'dark', 'forc', 'lie', 'wait', 'beneath', 'shadow', 'haunt', 'bungalow', 'decid', 'stay', 'Ali Asgar', 'Vivan Bhatena', 'Nargis Fakhri', 'Sachiin Joshi', 'Shabnam Karimzada', 'Kevin Matadeen', '', 'Horror', 'Thriller']",https://image.tmdb.org/t/p/w500/4VWg9F8Yx6PwJJ7C9EzarbK6J8n.jpg
tt2395469,https://en.wikipedia.org/wiki/Gully_Boy,Gully Boy,"['gulli', 'boy', 'film', 'boy', 'murad', 'ghetto', 'mumbai', 'india', 'son', 'driver', 'parent', 'work', 'hard', 'get', 'educ', 'could', 'white', 'collar', 'job', 'meanwhil', 'murad', 'realiz', 'call', 'rapper', 'authent', 'hip', 'hop', 'india', 'recent', 'phenomenon', 'like', 'anywher', 'els', 'world', 'rise', 'street', 'art', 'distant', 'dream', 'colon', 'poor', 'india', 'stori', 'murad', 'journey', 'realiz', 'love', 'rap', 'chase', 'dream', 'inadvert', 'transcend', 'class', 'film', 'showcas', 'street', 'rap', 'crevic', 'mumbai', 'lane', 'poetri', 'consciou', 'citi', 'fabric', 'highlight', 'challeng', 'face', 'disenfranchis', 'youth', 'minor', 'popul', 'stori', 'base', 'live', 'street', 'rapper', 'mumbai', 'Ranveer Singh', 'Alia Bhatt', 'Siddhant Chaturvedi', 'Vijay Raaz', 'Amruta Subhash', 'Vijay Varma', 'Kalki Koechlin', 'Ikhlaque Khan', 'Sheeba Chaddha', 'Jyoti Subhash', 'Rahul Piske', 'Nakul Sachdeva', 'Shruti Chauhan', 'Aishwarya Desai', '', 'Drama', 'Music']",https://image.tmdb.org/t/p/w500/4RE7TD5TqEXbPKyUHcn7CSeMlrJ.jpg
tt9319812,https://en.wikipedia.org/wiki/Hum_Chaar,Hum chaar,"['stori', 'film', 'revolv', 'around', 'four', 'colleg', 'friend', 'went', 'direct', 'life', 'remain', 'insepar', 'stori', 'film', 'revolv', 'around', 'four', 'colleg', 'friend', 'went', 'direct', 'life', 'remain', 'insepar', 'Prit Kamani', 'Simran Sharma', 'Anshuman Malhotra', 'Tushar Pandey', 'Vibha Anand', 'Jatin Goswami', 'Jagat Rawat', 'Sonal Jha', 'Shailesh Datar', 'Jayshankar Tripathi', 'Alok Pandey', 'Sushant Mohindru', 'Shahnawaz Pradhan', 'Amit Kumar Jha', '', 'Drama']",https://image.tmdb.org/t/p/w500/7ro9ZdzaTYa0pPwbhRr3ASzeeo.jpg
tt7639372,https://en.wikipedia.org/wiki/Total_Dhamaal,Total Dhamaal,"['total', 'dhamaal', 'third', 'instal', 'dhamaal', 'franchis', 'hidden', 'booti', '50', 'crore', 'lead', 'mad', 'chase', 'amongst', 'bunch', 'greedi', 'eccentr', 'charact', 'bicker', 'coupl', 'verg', 'divorc', 'greedi', 'sibl', 'local', 'goon', 'polic', 'commission', 'mastermind', 'loot', 'final', 'discov', 'hidden', 'treasur', 'group', 'peopl', 'learn', 'hidden', 'treasur', 'race', 'find', 'claim', 'Ajay Devgn', 'Madhuri Dixit', 'Anil Kapoor', 'Riteish Deshmukh', 'Arshad Warsi', 'Javed Jaffrey', 'Esha Gupta', 'Boman Irani', 'Sanjay Mishra', 'Vijay Patkar', 'Pitobash', 'Mahesh Manjrekar', 'Ali', '', 'Action', 'Adventure', 'Comedy']",https://image.tmdb.org/t/p/w500/2ZeE0hQSVMNjkRCqyxkBrvnmzsr.jpg
tt8108200,https://en.wikipedia.org/wiki/Sonchiriya,Sonchiriya,"['stori', 'group', 'rebel', 'chambal', 'year', 'prime', 'minist', 'indira', 'gandhi', 'declar', 'emerg', 'countri', 'man', 'singh', 'manoj', 'bajpaye', 'meanwhil', 'lead', 'gang', 'chambal', 'region', 'less', 'lawless', 'vakil', 'singh', 'ranvir', 'shorey', 'lakhna', 'sushant', 'singh', 'rajput', 'import', 'member', 'gang', 'man', 'singh', 'need', 'money', 'procur', 'new', 'arm', 'base', 'tip', 'lacchu', 'jaspal', 'sharma', 'men', 'descend', 'brahmpuri', 'villag', 'marriag', 'take', 'place', 'hamlet', 'groom', 'get', 'huge', 'amount', 'gold', 'cash', 'man', 'singh', 'gang', 'reach', 'marriag', 'venu', 'order', 'loot', 'wealth', 'howev', 'cop', 'led', 'virend', 'gujjar', 'ashutosh', 'rana', 'ambush', 'gang', 'tough', 'fight', 'man', 'singh', 'half', 'gang', 'get', 'kill', 'vakil', 'lakhna', 'other', 'escap', 'vakil', 'leader', 'gang', 'accus', 'lakhna', 'betray', 'call', 'cop', 'lakhna', 'fed', 'rebel', 'want', 'surrend', 'meanwhil', 'set', 'chambal', 'valley', 'film', 'follow', 'stori', 'legion', 'dread', 'war', 'dacoit', 'terror', 'indian', 'heartland', 'Sushant Singh Rajput', 'Bhumi Pednekar', 'Manoj Bajpayee', 'Ranvir Shorey', 'Ashutosh Rana', 'Gagandev Riar', '', 'Action', 'Crime', 'Drama']",https://image.tmdb.org/t/p/w500/7ygikeDbneOlUFIQyvAmMrvi3vJ.jpg
tt8130968,https://en.wikipedia.org/wiki/Badla_(2019_film),Badla,"['naina', 'sethi', 'success', 'entrepreneur', 'find', 'lock', 'hotel', 'gain', 'consciou', 'find', 'lie', 'corps', 'lover', 'arjun', 'arrest', 'left', 'bail', 'lawyer', 'jimmi', 'hire', 'defens', 'lawyer', 'badal', 'gupta', 'lost', 'case', 'sinc', 'last', '40', 'naina', 'discuss', 'event', 'happen', 'badal', 'feel', 'lot', 'mani', 'loophol', 'naina', 'stori', 'dynam', 'young', 'entrepreneur', 'find', 'lock', 'hotel', 'room', 'corps', 'dead', 'lover', 'hire', 'prestigi', 'lawyer', 'defend', 'work', 'togeth', 'figur', 'actual', 'happen', 'Amitabh Bachchan', 'Taapsee Pannu', 'Amrita Singh', 'Antonio Aakeel', 'Tony Luke', 'Tanveer Ghani', 'Tariqsafdar Hussain', 'Mark Mansfield', '', 'Crime', 'Drama', 'Mystery']",https://image.tmdb.org/t/p/w500/eKpzbERuhogYTwI3PwfVsAHXnuO.jpg
tt8055888,https://en.wikipedia.org/wiki/Mard_Ko_Dard_Nahi_Hota,Mard Ko Dard Nahin Hota,"['stori', 'young', 'boy', 'surya', 'rare', 'condit', 'congenit', 'insensit', 'pain', 'mean', 'feel', 'pain', 'set', 'learn', 'martial', 'art', 'hunt', 'mugger', 'stori', 'young', 'boy', 'surya', 'rare', 'condit', 'congenit', 'insensit', 'pain', 'mean', 'feel', 'pain', 'set', 'learn', 'martial', 'art', 'hunt', 'mugger', 'Abhimanyu Dasani', 'Radhika Madan', 'Prateek Parmar', 'Satyajit Ganu', '', 'Action', 'Comedy']",https://image.tmdb.org/t/p/w500/lxHYXswJjaT5k0hPOMmNDRz1EjI.jpg
tt7527082,https://en.wikipedia.org/wiki/Hamid_(film),Hamid,"['hamid', '8', 'father', 'gone', 'miss', 'mother', 'ishrat', 'turn', 'indiffer', 'toward', 'hamid', 'entir', 'world', 'incid', 'neglect', 'lone', 'heart', 'search', 'answer', 'hamid', 'star', 'gaze', 'hope', 'meet', 'father', 'number', '786', 'alway', 'bewild', 'hamid', 'one', 'day', 'teacher', 'tell', 'hamid', 'god', 'number', 'use', 'father', 'old', 'mobil', 'phone', 'tri', 'differ', 'combin', 'final', 'manag', 'connect', 'person', 'convinc', 'god', 'side', 'abhay', 'crpf', 'jawaan', 'hamid', 'phone', 'call', 'though', 'surpris', 'first', 'intrigu', 'abhay', 'engag', 'humour', 'hamid', 'two', 'unknowingli', 'unintent', 'chang', 'world', 'better', 'eight', 'hamid', 'learn', '786', 'god', 'number', 'decid', 'tri', 'reach', 'god', 'dial', 'number', 'want', 'talk', 'father', 'mother', 'tell', 'gone', 'allah', 'one', 'fine', 'day', 'phone', 'call', 'answer', 'Talha Arshad Reshi', 'Vikas Kumar', 'Rasika Dugal', 'Sumit Kaul', 'Bashir Lone', 'Gurveer Singh', 'Ashraf Nagoo', 'Mir Sarwar', 'Qazi Faiz', 'Umar Adil', '', 'Drama']",https://image.tmdb.org/t/p/w500/35QHuEC4cUP1R7O0XtPIfRPF4mz.jpg
tt7778680,https://en.wikipedia.org/wiki/Photograph_(film),Photograph,"['two', 'live', 'intersect', 'mumbai', 'go', 'along', 'togeth', 'struggl', 'street', 'photograph', 'pressur', 'marri', 'grandmoth', 'convinc', 'shi', 'stranger', 'pose', 'fiancé', 'pair', 'develop', 'connect', 'transform', 'way', 'could', 'expect', 'ritesh', 'batra', 'lunchbox', 'struggl', 'street', 'photograph', 'mumbai', 'pressur', 'marri', 'grandmoth', 'convinc', 'shi', 'stranger', 'pose', 'fiancé', 'pair', 'develop', 'connect', 'transform', 'way', 'could', 'expect', 'Nawazuddin Siddiqui', 'Sanya Malhotra', 'Sachin Khedekar', 'Denzil Smith', 'Brinda Trivedi', 'Lubna Salim', 'Rajesh Kumar Sharma', 'Shihaan Bakshi', 'Akash Sinha', 'Seema Pravin Shende', 'Robin Das', 'Bhagwan Das Patel', 'Ashok Pathak', 'Amarjeet Singh', '', 'Drama', 'Romance']",https://image.tmdb.org/t/p/w500/4t8Vgj9UL1TCGmyZHbQxPtSCXrp.jpg
tt9795264,https://en.wikipedia.org/wiki/Risknamaa,Risknamaa,"['sher', 'singh', 'sarpanch', 'villag', 'whose', 'order', 'whoever', 'love', 'get', 'death', 'punish', 'way', 'sher', 'singh', 'kill', 'mani', 'boy', 'girl', 'love', 'one', 'day', 'sarpanch', 'also', 'fall', 'love', 'girl', 'sher', 'singh', 'love', 'girl', 'wife', 'younger', 'brother', 'sher', 'singh', 'sarpanch', 'villag', 'whose', 'order', 'whoever', 'love', 'get', 'death', 'punish', 'way', 'sher', 'singh', 'kill', 'mani', 'boy', 'girl', 'Garima Agarwal', 'Anupama', 'Parveen Bansala', 'Mahaveer Singh Fauji', 'Javed Haider', 'Shahbaaz Khan', 'Sachin Khari', 'Pramod Moutho', 'Aarun Nagar', 'Khyati Sharma', 'Ravi Sharma', 'Shashikant Sharma', '', 'Thriller']",https://image.tmdb.org/t/p/w500/ibkwPRpoxAyElWPqnQ0QZmowT9w.jpg
